"Date","open ATER Price in USD","high ATER Price in USD","low ATER Price in USD","close ATER Price in USD","ATER Volume","Days to cover 3m (on loan)","Exchange Reported SI","Dividends","hidden"
"12-Jun-19",10,10.74,9.53,10,997632
"13-Jun-19",9.99,10.1499,9.1,9.17,224046
"14-Jun-19",9.15,9.22,8,8.5,142589,,98639
"17-Jun-19",8.46,8.4999,6.97,7.05,362600
"18-Jun-19",7.09,7.44,6.99,7.15,52689
"19-Jun-19",7.14,7.18,6.5,6.5,115569
"20-Jun-19",6.56,6.9,6.11,6.22,108278
"21-Jun-19",6.2,6.6185,6.2,6.31,43009
"24-Jun-19",6.35,6.8105,6.35,6.7,21957
"25-Jun-19",6.75,7.07,6.75,7.07,20446
"26-Jun-19",7.12,7.61,7.1181,7.61,63999
"27-Jun-19",7.65,7.99,7.61,7.98,35682
"28-Jun-19",7.914,8.07,7.236,8.07,27420,,152067
"01-Jul-19",8.16,8.16,7.35,7.84,23929
"02-Jul-19",7.59,7.774,7.13,7.35,37005
"03-Jul-19",7.31,7.52,7.31,7.31,2631
"05-Jul-19",7.24,7.67,7.2,7.64,17133
"08-Jul-19",7.86,7.86,7.1,7.16,20493
"09-Jul-19",7.25,7.5,7.25,7.5,35151
"10-Jul-19",7.5,7.63,7.25,7.44,22069
"11-Jul-19",7.75,7.75,7.07,7.25,22890
"12-Jul-19",7.25,7.46,7.07,7.28,18998
"15-Jul-19",7.49,7.49,7.08,7.28,12686,,140190
"16-Jul-19",7.21,7.54,7.1,7.5,27400
"17-Jul-19",7.458,7.515,7.26,7.35,31652
"18-Jul-19",7.46,7.5,7.21,7.41,12390
"19-Jul-19",7.35,7.5,7.22,7.5,6591
"22-Jul-19",7.55,7.775,7.35,7.495,26463
"23-Jul-19",7.5,7.64,7.071,7.5,14903
"24-Jul-19",7.3,7.44,7.11,7.24,33980
"25-Jul-19",7.3,7.32,6.76,7.05,34858
"05-Sep-19",8.08,9.45,8.06,9.43,203376,2.332049
"06-Sep-19",9.22,9.28,8.9,9.02,5558,0.715027
"09-Sep-19",9.02,9.048,8.12,8.27,25719,0.718466
"10-Sep-19",8.47,8.87,7.87,7.975,20428,0.736118
"11-Sep-19",7.98,8.42,7.86,7.96,252566,0.64052
"12-Sep-19",8.08,8.3,7.49,7.49,34347,0.64503
"13-Sep-19",7.56,8.16,7.425,7.96,11892,0.731288,71749
"16-Sep-19",8.19,8.19,7.5,7.99,25194,0.33001
"17-Sep-19",7.77,8.19,7.525,7.84,32746,0.486224
"18-Sep-19",7.66,8.09,7.51,7.51,62779,0.574289
"19-Sep-19",7.68,7.745,7.17,7.17,67377,0.481852
"20-Sep-19",7.23,7.68,7.1,7.23,175203,1.368335
"23-Sep-19",7.3,7.8,7.23,7.37,35592,1.938956
"24-Sep-19",7.43,7.5124,7.1,7.27,31212,2.474183
"25-Sep-19",7.28,7.4,7.1,7.16,6715,3.095691
"26-Sep-19",7.125,7.88,7.125,7.75,35179,3.386655
"27-Sep-19",7.36,7.75,7.356,7.69,6297,2.462935
"30-Sep-19",7.69,7.82,7.339,7.82,9882,2.526451,107370
"01-Oct-19",7.77,7.77,7.27,7.45,1822,2.730016
"02-Oct-19",7.267,7.5,7.1,7.1,3585,2.812535
"03-Oct-19",7.06,7.5527,7.05,7.05,6101,2.841858
"04-Oct-19",7.06,7.285,7.06,7.09,12417,2.780947
"07-Oct-19",7.05,7.14,6.75,6.75,16910,2.826361
"08-Oct-19",6.88,7.0117,6.65,6.67,8782,2.847514
"09-Oct-19",6.73,6.73,6.65,6.65,3106,2.496553
"10-Oct-19",6.66,7.0418,6.61,6.86,21497,2.511488
"11-Oct-19",6.75,7.09,6.61,6.8,43470,2.511023
"14-Oct-19",6.82,7.11,6.61,6.68,25425,2.641352
"15-Oct-19",6.81,7.15,6.68,6.7,14693,2.719333,102144
"16-Oct-19",6.93,7.38,6.91,7,19247,2.697354
"17-Oct-19",7.15,7.15,6.74,7.06,10489,2.71723
"18-Oct-19",6.87,7,6.865,6.96,2560,2.787149
"21-Oct-19",7.15,7.15,6.86,6.86,18649,2.808465
"22-Oct-19",6.92,7,6.79,6.8,4015,2.769276
"23-Oct-19",7,7,6.8,6.8,550,2.810152
"24-Oct-19",6.95,6.95,6.32,6.73,31197,2.819093
"25-Oct-19",6.63,6.89,6.4027,6.5,5521,2.769213
"28-Oct-19",6.57,6.8655,6.35,6.73,17448,2.777788
"29-Oct-19",6.61,6.62,6.36,6.38,10137,3.139748
"30-Oct-19",6.341,6.43,6.03,6.05,24856,3.165007
"31-Oct-19",6.1,6.11,5.71,5.85,14209,3.301394,109119
"01-Nov-19",5.91,6.11,5.7,6.03,21169,3.353322
"04-Nov-19",6.2,6.5695,6.11,6.49,7165,3.573669
"05-Nov-19",6.48,6.9504,6.35,6.52,28726,3.512345
"06-Nov-19",6.94,6.94,6.37,6.59,43946,3.474676
"07-Nov-19",6.45,6.73,6.39,6.55,21939,3.595475
"08-Nov-19",6.55,6.55,6.15,6.42,13764,3.538287
"11-Nov-19",6.3,6.49,6.15,6.49,2284,3.537186
"12-Nov-19",6.39,6.48,6.2,6.38,8673,3.566162
"13-Nov-19",6.096,6.215,5.95,5.95,14114,3.526931
"14-Nov-19",6.19,6.19,5.93,6.14,14941
"15-Nov-19",6.29,6.29,5.7273,6,10083,3.550467,126779
"18-Nov-19",5.77,5.95,5.18,5.23,37886,3.441028
"19-Nov-19",5.42,5.58,5.1201,5.35,21880,3.3511
"20-Nov-19",5.51,5.89,5.29,5.67,11205,3.299918
"21-Nov-19",5.81,5.81,5.19,5.65,7365,3.330902
"22-Nov-19",5.55,5.55,5.22,5.5473,11998,3.586096
"25-Nov-19",5.59,5.59,5.35,5.5,6971,3.742972
"26-Nov-19",5.45,5.5905,5.41,5.4299,7929,4.042373
"27-Nov-19",5.4,5.45,5.25,5.45,25839,3.90303
"28-Nov-19",,,,,,3.992207
"29-Nov-19",5.45,6.24,5.45,6,5290,4.051188,119731
"02-Dec-19",6.2,6.2027,5.71,5.85,26932,4.129415
"03-Dec-19",5.82,5.82,5.5525,5.5806,2053,4.397116
"04-Dec-19",5.74,5.789,5.57,5.57,16493,4.253488
"05-Dec-19",5.6012,5.6012,5.31,5.43,11077,4.26232
"06-Dec-19",5.41,5.58,5.1645,5.5,56765,4.650878
"09-Dec-19",5.49,5.8,5.12,5.12,8024,4.843444
"10-Dec-19",5.05,5.05,4.42,4.43,68316,4.781003
"11-Dec-19",4.46,4.8,4.46,4.6239,28500,4.540066
"12-Dec-19",4.75,4.75,4.5,4.53,59314,5.175965
"13-Dec-19",4.62,4.665,4.2901,4.42,24970,7.242001,128555
"16-Dec-19",4.42,4.739,4.42,4.59,16873,5.360129
"17-Dec-19",4.6,4.98,4.3227,4.46,39570,5.44526
"18-Dec-19",4.46,4.7536,4.3201,4.3379,12217,5.326493
"19-Dec-19",4.3,4.5871,4.2,4.305,22755,5.061236
"20-Dec-19",4.51,4.9635,4.32,4.82,48983,5.20848
"23-Dec-19",4.82,5.26,4.82,5,47876,5.840021
"24-Dec-19",4.95,5.13,4.95,5.065,5304
"25-Dec-19",,,,,,5.773251
"26-Dec-19",5.05,6.121,5.05,5.4,54209,13.052892
"27-Dec-19",5.42,6.24,5.4,6.15,38315
"30-Dec-19",6.38,6.5,5.9,6.29,60660,5.542964
"31-Dec-19",5.7,6.26,5.7,5.89,28463,5.053374,175266
"01-Jan-20",,,,,,4.998543
"02-Jan-20",5.89,6.12,5.5501,5.56,17276,4.916459
"03-Jan-20",5.51,5.86,5.46,5.65,14339,4.862831
"06-Jan-20",5.46,5.53,4.995,5.5139,9643
"07-Jan-20",5.49,5.875,5.46,5.73,18375,4.322739
"08-Jan-20",5.73,5.73,5.34,5.61,28017,4.385965
"09-Jan-20",5.6,5.9,5.53,5.79,11405,7.392668
"10-Jan-20",5.6755,5.7178,5.6755,5.7178,565,4.582767
"13-Jan-20",5.5841,5.739,5.35,5.5,25867,4.431763
"14-Jan-20",5.51,5.84,5.51,5.84,12880,4.425415
"15-Jan-20",5.79,5.79,5.16,5.6,27472,4.424908,137992
"16-Jan-20",5.9,5.9,5.6801,5.71,26938,4.379974
"17-Jan-20",5.71,5.71,5.38,5.59,23350,4.178044
"20-Jan-20",,,,,,4.086848
"21-Jan-20",5.6,5.82,5.55,5.71,10494,5.037082
"22-Jan-20",5.582,5.71,5.55,5.55,29446,4.620246
"23-Jan-20",5.5,5.535,5.41,5.41,8586,4.909785
"24-Jan-20",5.38,5.53,5.38,5.53,4664,4.950188
"27-Jan-20",5.4,5.49,5.3,5.31,7233,4.918535
"28-Jan-20",5.3,5.551,5.2,5.435,7904,4.89417
"29-Jan-20",5.36,5.36,5.21,5.285,14017,4.822425
"30-Jan-20",5.21,5.33,4.98,5.07,11165,3.754447
"31-Jan-20",5.15,5.15,4.5,4.6,30370,3.520573,143540
"03-Feb-20",4.66,4.74,4.55,4.55,17238,3.354079
"04-Feb-20",4.51,4.51,4,4.2105,30684,3.492906
"05-Feb-20",4.39,4.44,4.18,4.295,12954,3.473578
"06-Feb-20",4.36,4.4,4.1001,4.19,9057,3.547282
"07-Feb-20",4.16,4.3785,4.15,4.37,4105,3.645361
"10-Feb-20",4.37,4.409,4.3125,4.409,1549,3.683155
"11-Feb-20",4.37,4.37,4.1527,4.17,689,3.966936
"12-Feb-20",4.33,4.33,4.1,4.1,4423,5.291482
"13-Feb-20",4.1,4.1,3.8,3.8886,14579,4.633043
"14-Feb-20",3.67,4.08,3.67,4.03,68715,4.444835,145349
"17-Feb-20",,,,,,4.385384
"18-Feb-20",4.03,4.03,3.8537,3.99,10874,4.41966
"19-Feb-20",3.87,4.4,3.71,4.2755,12555,7.012176
"20-Feb-20",4.05,4.05,3.75,4.0163,3238,4.474355
"21-Feb-20",3.8737,4.24,3.8737,4.05,60514,4.307621
"24-Feb-20",3.85,4.04,3.85,4,3054,4.335663
"25-Feb-20",4.0005,4.0005,3.7,3.9,20203,4.344716
"26-Feb-20",3.82,4.0015,3.6601,3.8252,10857,4.419847
"27-Feb-20",3.84,3.875,3.6687,3.75,6789,4.548574
"28-Feb-20",3.7,3.9807,3.33,3.75,18855,4.567444,166077
"02-Mar-20",3.98,3.98,3.37,3.61,21625,4.548811
"03-Mar-20",3.51,3.63,3.17,3.5513,10088,4.69934
"04-Mar-20",3.73,3.8551,3.7,3.81,40920,4.797
"05-Mar-20",3.934,4.045,3.75,4,12297,4.712078
"06-Mar-20",3.7,3.81,3.49,3.68,29466,4.600662
"09-Mar-20",3.17,3.47,3.02,3.45,25664,4.871912
"10-Mar-20",3.33,3.8001,3.21,3.72,11407,6.584531
"11-Mar-20",3.5,3.52,3.12,3.44,12744,7.721585
"12-Mar-20",3.1,3.13,2.595,2.83,18456,7.225392
"13-Mar-20",3.36,3.48,3.02,3.05,4841,7.187406,205154
"16-Mar-20",2.87,3.07,2.8,3.07,2716,7.370406
"17-Mar-20",2.83,2.83,2.16,2.665,61298
"18-Mar-20",2.6,2.74,2.14,2.72,12700,8.597126
"19-Mar-20",1.82,2.56,1.8,2.15,40157,9.541591
"20-Mar-20",2,2.045,1.8,1.8,132575,8.750678
"23-Mar-20",2.015,2.015,1.42,1.7959,9207,7.381464
"24-Mar-20",1.98,1.98,1.6376,1.6991,45049,6.025517
"25-Mar-20",2.17,2.58,1.84,1.84,24295,5.974475
"26-Mar-20",2.208,2.2713,1.9294,1.9294,164415,4.958222
"27-Mar-20",2.4,2.79,1.8001,1.935,17178,4.799787
"30-Mar-20",2,2,1.73,1.78,25490,3.803721
"31-Mar-20",1.8,1.89,1.68,1.69,105081,3.390645,103538
"01-Apr-20",1.6535,1.6899,1.6,1.61,2992,3.372496
"02-Apr-20",1.76,2.0524,1.7,1.7,6897,3.401453
"03-Apr-20",1.8,2.03,1.7708,1.99,18558,3.450082
"06-Apr-20",2.05,2.05,1.78,1.78,29608,3.385397
"07-Apr-20",2.12,2.12,1.62,1.69,32504,3.012021
"08-Apr-20",1.72,1.85,1.7,1.758,9001,2.794664
"09-Apr-20",2.15,2.3,1.85,2.14,149845,2.454411
"10-Apr-20",,,,,,2.433052
"13-Apr-20",2.5,3.23,1.77,2.01,353937,1.875326
"14-Apr-20",2.43,2.4769,2.11,2.357,146401,1.686959
"15-Apr-20",2.55,2.55,2.25,2.4,60349,1.24543,106460
"16-Apr-20",2.48,2.7,2.15,2.35,80758,1.172423
"17-Apr-20",2.5,2.6,2.15,2.5,33502,1.445442
"20-Apr-20",2.56,2.69,2.42,2.58,73350,1.28802
"21-Apr-20",2.55,2.6147,2.526,2.54,8189,1.295291
"22-Apr-20",2.5,2.5,2.2,2.44,23143,1.487304
"23-Apr-20",2.3751,2.3751,2.2,2.31,35773,1.489564
"24-Apr-20",2.26,2.38,2.2,2.25,28240,1.434488
"27-Apr-20",2.23,2.3257,1.98,2.02,104098,1.351267
"28-Apr-20",2.22,2.25,2.185,2.23,41816,1.222018
"29-Apr-20",2.17,3.4,2.17,3.4,497841,1.299437
"30-Apr-20",3.95,4.95,3.5,4.25,1937091,2.231238,117946
"01-May-20",3.76,4.5,3.5001,4.5,409106,2.126419
"04-May-20",4.31,4.33,3.75,4,236316,3.092219
"05-May-20",4.26,4.38,3.89,3.9,142860,2.417978
"06-May-20",4.05,4.25,3.9,4,189193,1.482582
"07-May-20",4.18,4.29,4.01,4.18,139756,2.315343
"08-May-20",4.02,4.29,4.02,4.05,165250,2.151753
"11-May-20",3.93,4.4,3.93,4.3,201413,1.824362
"12-May-20",4.78,4.78,4.12,4.23,226102,1.447904
"13-May-20",4.13,4.15,3.86,4.07,135785,1.37972
"14-May-20",3.92,4.1,3.5623,3.84,97942,1.27091
"15-May-20",3.89,4.2,3.8,4.16,116430,1.127574,236811
"18-May-20",4.5,4.54,4.26,4.26,117635,1.133329
"19-May-20",4.32,4.55,4.07,4.37,109102,1.166448
"20-May-20",4.4,4.5,4.19,4.3,45511,1.088712
"21-May-20",4.33,4.49,4.26,4.41,50758,1.033823
"22-May-20",4.4,4.43,4.2,4.34,41892,0.966041
"25-May-20",,,,,,0.951365
"26-May-20",4.5,4.99,4.35,4.9,168627,0.931565
"27-May-20",4.92,5.45,4.75,5.44,92807,0.9105
"28-May-20",5.5,5.95,5.5,5.54,115076,0.897033
"29-May-20",5.49,5.51,4.895,5.15,55988,0.953729,214921
"01-Jun-20",5.11,5.43,4.85,4.95,120204,0.83521
"02-Jun-20",5.02,5.08,4.82,4.94,43025,0.779137
"03-Jun-20",4.89,5,4.65,4.75,108308,0.773675
"04-Jun-20",5.9,5.9,4.9,5.2,195960,0.754397
"05-Jun-20",5.44,5.55,5.23,5.23,257360,0.733966
"08-Jun-20",5.35,6.0899,5.3,5.32,331728,0.662735
"09-Jun-20",5.47,5.705,5.15,5.31,156852,0.661379
"10-Jun-20",5.65,5.88,5.05,5.38,259865,0.35287
"11-Jun-20",5,5.14,4.5,4.92,186426,0.315853
"12-Jun-20",5.01,5.179,4.951,4.98,53787,0.24581
"15-Jun-20",4.82,5.35,4.82,5.09,74108,0.307091,104963
"16-Jun-20",5.34,5.43,5.19,5.21,109929,0.233722
"17-Jun-20",5.22,5.44,5.22,5.44,23166,0.212457
"18-Jun-20",5.46,5.83,5.45,5.62,51921,0.672245
"19-Jun-20",5.7,5.75,5.52,5.7,41796,0.649408
"22-Jun-20",5.69,5.755,5.4603,5.75,52692,0.660767
"23-Jun-20",5.75,5.8168,5.6798,5.78,37140,0.676974
"24-Jun-20",5.77,5.77,5.2801,5.61,29515,0.619414
"25-Jun-20",5.57,5.695,5.33,5.63,45513,0.616504
"26-Jun-20",5.58,5.78,5.36,5.75,59510,0.464542
"29-Jun-20",5.69,5.72,5.4101,5.44,59781,0.4379
"30-Jun-20",5.48,5.65,5.32,5.49,17077,0.478649,105104
"01-Jul-20",5.4,5.6,5.355,5.6,19246,0.412836
"02-Jul-20",5.6,5.65,5.36,5.54,26921,0.411724
"03-Jul-20",,,,,,0.405607
"06-Jul-20",5.54,5.54,5.15,5.5,53165,0.361768
"07-Jul-20",5.46,5.49,5.3,5.3,42921,0.373923
"08-Jul-20",5.43,5.4783,5.1,5.33,45710,0.368851
"09-Jul-20",5.25,5.41,5.08,5.41,29280,0.273995
"10-Jul-20",5.142,5.4,5.14,5.35,18675,0.133287
"13-Jul-20",5.21,5.25,4.75,4.9,76695,0.123463
"14-Jul-20",4.82,5.2,4.82,5.15,25861,0.117743
"15-Jul-20",5.316,5.385,5.1,5.35,32674,0.133683,74734
"16-Jul-20",5.2488,5.4,5.2059,5.25,9122,0.134497
"17-Jul-20",5.19,6.2499,5.19,5.905,128761,0.166243
"20-Jul-20",5.99,6.24,5.7283,5.885,28714,0.166338
"21-Jul-20",5.76,6.28,5.7001,6.21,114940,0.24381
"22-Jul-20",6.44,6.925,6.31,6.9,169917,0.182379
"23-Jul-20",6.95,7.294,6.9159,7.1,148482,0.175408
"24-Jul-20",7.1338,8.14,7.1338,7.59,137739,0.141005
"27-Jul-20",7.79,7.8,7.48,7.6,52428,0.146365
"28-Jul-20",7.63,7.87,7.51,7.87,54880,0.321866
"29-Jul-20",8,8.6997,7.99,8.31,171913,0.319347
"30-Jul-20",8,8.64,7.57,8.39,172817,0.356411
"31-Jul-20",8.69,8.69,6.15,7.8,309808,0.253233,89751
"03-Aug-20",7.7,7.7,6.72,7.57,152343,0.165857
"04-Aug-20",7.57,8,7.57,7.72,75962,0.189315
"05-Aug-20",7.71,7.99,7.68,7.7,58324,0.187549
"06-Aug-20",7.89,7.94,6.9,7.11,88440,0.15968
"07-Aug-20",7.21,7.989,7.21,7.74,69900,0.220504
"10-Aug-20",7.67,8.02,7.61,7.9,59099,0.294194
"11-Aug-20",7.86,7.86,6.87,6.94,156005,0.47272
"12-Aug-20",7.45,7.8487,7.01,7.34,451670,0.257097
"13-Aug-20",7.46,7.75,7.4,7.75,97623,0.170754
"14-Aug-20",7.84,8.7974,7.721,8.44,369244,0.187891,243034
"17-Aug-20",8.59,8.9899,7.89,8.62,281230,0.402961
"18-Aug-20",8.71,9.1887,8.69,9.09,203962,1.465386
"19-Aug-20",9.24,9.39,9.1,9.29,83243,0.737659
"20-Aug-20",9.43,9.68,9.31,9.68,241336,0.417442
"21-Aug-20",9.68,9.68,8.16,8.78,382240,0.409264
"24-Aug-20",7.25,7.99,7.09,7.95,1313668,0.345116
"25-Aug-20",7.9,8.0769,7.5,7.63,242594,0.324197
"26-Aug-20",7.65,8.25,7.3,8.1,345880,0.350315
"27-Aug-20",8.3,8.7,7.955,8.45,611580,0.334782
"28-Aug-20",8.62,8.75,8.46,8.69,97602,0.50122
"31-Aug-20",8.7,8.795,7.7,8.08,223543,0.367458,152549
"01-Sep-20",8.16,8.19,7.52,7.55,307682,0.344752
"02-Sep-20",7.99,7.99,7.1,7.69,221866,0.369138
"03-Sep-20",7.62,7.68,6.381,6.77,251869,0.488534
"04-Sep-20",6.81,6.9899,6.25,6.72,263353,0.338306
"07-Sep-20",,,,,,0.342762
"08-Sep-20",6.8,7.33,6.73,6.96,147330,0.34692
"09-Sep-20",7,7.5,6.88,7.44,118191,0.406705
"10-Sep-20",7.44,8.2,7.41,7.68,564389,0.35665
"11-Sep-20",7.81,8,7.335,7.69,128689,0.36833
"14-Sep-20",7.9,7.98,7.45,7.85,160985,0.516664
"15-Sep-20",7.95,8.1,7.8011,7.87,106191,0.259665,206549
"16-Sep-20",8.05,8.05,7.82,7.9,59306,0.428606
"17-Sep-20",7.81,7.94,7.71,7.94,54262,0.482783
"18-Sep-20",7.64,8.25,7.64,7.89,258460,0.42932
"21-Sep-20",7.62,8.09,7.45,7.73,134070,0.397448
"22-Sep-20",7.7,8.26,7.64,8.25,94241,0.439507
"23-Sep-20",8.19,8.26,7.61,7.72,137249,0.396681
"24-Sep-20",7.83,7.99,7.56,7.78,73801,0.359244
"25-Sep-20",7.73,8.15,7.72,7.73,55163,0.388496
"28-Sep-20",7.79,8.24,7.785,8.08,73461,0.410397
"29-Sep-20",8.06,8.56,7.81,8.47,138400,0.400786
"30-Sep-20",8.5,8.75,7.93,8.25,169287,0.375551,143623
"01-Oct-20",8.25,8.44,8.02,8.33,26358,0.372875
"02-Oct-20",8.05,8.4494,7.96,8.15,57422,0.380405
"05-Oct-20",8.28,8.52,8.26,8.43,77839,0.341801
"06-Oct-20",8.51,8.51,8.05,8.19,128188,0.32607
"07-Oct-20",8.28,8.75,8.28,8.74,169032,0.351807
"08-Oct-20",8.85,9.3,8.695,8.93,440128,0.316327
"09-Oct-20",9.3363,9.3363,8.51,8.89,139552,0.314935
"12-Oct-20",8.96,9.09,8.52,8.71,121142,0.308258
"13-Oct-20",8.58,9.28,8.5002,9.25,95641,0.725832
"14-Oct-20",9.39,9.5,8.85,9.03,66487,0.502117
"15-Oct-20",9.09,9.2607,8.5,8.62,100083,0.339465,130442
"16-Oct-20",8.69,9.04,8.6,8.77,93802,0.31492
"19-Oct-20",8.99,9.38,8.79,9.03,85525,0.282451
"20-Oct-20",9.17,9.17,8.64,8.94,78326,0.285492
"21-Oct-20",8.81,9,8.75,8.84,42178,0.28355
"22-Oct-20",8.81,8.985,8.58,8.61,53572,0.204373
"23-Oct-20",8.6993,8.7678,8.1101,8.24,67029,0.164922
"26-Oct-20",8.31,8.31,7.8,8.17,68830,0.116377
"27-Oct-20",8.12,8.22,8.01,8.05,41788,0.13336
"28-Oct-20",8,8.37,7.6629,8.1,99908,0.132827
"29-Oct-20",8.02,8.425,8.02,8.16,40449,0.136325
"30-Oct-20",8.18,8.18,7.81,8.04,62400,0.238035,145512
"02-Nov-20",8.04,8.55,7.98,8.38,57920,0.208812
"03-Nov-20",8.5,8.65,8.39,8.44,76591,0.178798
"04-Nov-20",8.54,8.88,8.37,8.69,85780,0.144949
"05-Nov-20",8.7,9.17,8.7,9.1,93509,0.147048
"06-Nov-20",9.09,9.39,8.94,9.15,105024,0.149916
"09-Nov-20",9.49,9.49,8.36,8.46,184647,0.135371
"10-Nov-20",8.85,8.9,7.63,8.3,383898,0.243532
"11-Nov-20",8.41,8.56,7.8,8.01,239075,0.23988
"12-Nov-20",8,8.085,7.25,7.57,300393,0.170736
"13-Nov-20",7.6,7.9,7.4729,7.75,280387,0.162155,100364
"16-Nov-20",7.77,7.8475,7.12,7.32,345792,0.228228
"17-Nov-20",7.22,7.4593,6.8675,7.03,214037,0.227629
"18-Nov-20",7.07,7.3427,6.93,7.12,123531,0.14087
"19-Nov-20",7.07,7.355,6.89,7.1,377161,0.138851
"20-Nov-20",7.18,7.6,7.18,7.32,98871,0.184494
"23-Nov-20",7.35,7.5632,7.09,7.1,129187,0.215323
"24-Nov-20",7.14,7.39,6.95,7.13,191780,0.213173
"25-Nov-20",7.21,7.44,7.13,7.42,67613,0.199314
"26-Nov-20",,,,,,0.200914
"27-Nov-20",7.45,7.71,7.22,7.4,169010,0.20763
"30-Nov-20",7.32,7.56,6.74,7.06,201723,0.221865,106227
"01-Dec-20",7.17,7.17,6.75,6.89,206625,0.293542
"02-Dec-20",7.25,8.1998,7.05,8.12,681200,0.268313
"03-Dec-20",8.25,9.1,8.25,8.88,468204,0.317675
"04-Dec-20",8.99,9.77,8.89,9.69,555069,0.28628
"07-Dec-20",9.77,9.99,9.32,9.59,461700,0.439081
"08-Dec-20",9.59,10,9.3616,9.83,252563,1.52887
"09-Dec-20",9.85,10.88,9.83,10.38,448034,1.821729
"10-Dec-20",10.38,10.51,9.35,10,308070,2.021635
"11-Dec-20",9.8,9.98,9.03,9.61,152341,2.096957
"14-Dec-20",9.93,10.43,9.65,9.67,279178,2.272921
"15-Dec-20",9.84,10.35,9.67,9.97,234092,2.187904,408999
"16-Dec-20",9.98,10.3,9.8,10.07,163185,2.782219
"17-Dec-20",10.38,12.69,10.26,12.22,962323
"18-Dec-20",12.9,13.2422,11.15,12.2,934796,2.391849
"21-Dec-20",12.17,14.23,11.73,14.18,986694,2.621798
